Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Started analysis of Res2_RNA_A1_1.fastq.gz
Started analysis of Res2_RNA_A1_2.fastq.gz
Started analysis of Res2_RNA_A2_1.fastq.gz
Started analysis of Res2_RNA_A2_2.fastq.gz
Started analysis of Res2_RNA_A3_1.fastq.gz
Started analysis of Res2_RNA_A3_2.fastq.gz
Started analysis of Res2_RNA_E1_1.fastq.gz
Approx 45% complete for Res2_RNA_D6_1.fastq.gz
Approx 5% complete for Res2_RNA_E1_1.fastq.gz
Approx 50% complete for Res2_RNA_D5_1.fastq.gz
Analysis complete for Res2_RNA_D4_2.fastq.gz
Approx 30% complete for Res2_RNA_D6_2.fastq.gz
Approx 10% complete for Res2_RNA_E1_1.fastq.gz
Started analysis of Res2_RNA_E1_2.fastq.gz
Approx 45% complete for Res2_RNA_D5_2.fastq.gz
Approx 50% complete for Res2_RNA_D6_1.fastq.gz
Approx 15% complete for Res2_RNA_E1_1.fastq.gz
Approx 5% complete for Res2_RNA_E1_2.fastq.gz
Approx 55% complete for Res2_RNA_D5_1.fastq.gz
Approx 35% complete for Res2_RNA_D6_2.fastq.gz
Approx 20% complete for Res2_RNA_E1_1.fastq.gz
Approx 10% complete for Res2_RNA_E1_2.fastq.gz
Approx 55% complete for Res2_RNA_D6_1.fastq.gz
Approx 25% complete for Res2_RNA_E1_1.fastq.gz
Approx 50% complete for Res2_RNA_D5_2.fastq.gz
Approx 15% complete for Res2_RNA_E1_2.fastq.gz
Approx 40% complete for Res2_RNA_D6_2.fastq.gz
Approx 30% complete for Res2_RNA_E1_1.fastq.gz
Approx 20% complete for Res2_RNA_E1_2.fastq.gz
Approx 60% complete for Res2_RNA_D6_1.fastq.gz
Approx 60% complete for Res2_RNA_D5_1.fastq.gz
Approx 35% complete for Res2_RNA_E1_1.fastq.gz
Approx 25% complete for Res2_RNA_E1_2.fastq.gz
Approx 45% complete for Res2_RNA_D6_2.fastq.gz
Approx 40% complete for Res2_RNA_E1_1.fastq.gz
Approx 55% complete for Res2_RNA_D5_2.fastq.gz
Approx 30% complete for Res2_RNA_E1_2.fastq.gz
Approx 65% complete for Res2_RNA_D6_1.fastq.gz
Approx 45% complete for Res2_RNA_E1_1.fastq.gz
Approx 65% complete for Res2_RNA_D5_1.fastq.gz
Approx 35% complete for Res2_RNA_E1_2.fastq.gz
Approx 50% complete for Res2_RNA_D6_2.fastq.gz
Approx 50% complete for Res2_RNA_E1_1.fastq.gz
Approx 70% complete for Res2_RNA_D6_1.fastq.gz
Approx 40% complete for Res2_RNA_E1_2.fastq.gz
Approx 60% complete for Res2_RNA_D5_2.fastq.gz
Approx 55% complete for Res2_RNA_E1_1.fastq.gz
Approx 45% complete for Res2_RNA_E1_2.fastq.gz
Approx 70% complete for Res2_RNA_D5_1.fastq.gz
Approx 55% complete for Res2_RNA_D6_2.fastq.gz
Approx 60% complete for Res2_RNA_E1_1.fastq.gz
Approx 75% complete for Res2_RNA_D6_1.fastq.gz
Approx 50% complete for Res2_RNA_E1_2.fastq.gz
Approx 65% complete for Res2_RNA_E1_1.fastq.gz
Approx 55% complete for Res2_RNA_E1_2.fastq.gz
Approx 60% complete for Res2_RNA_D6_2.fastq.gz
Approx 70% complete for Res2_RNA_E1_1.fastq.gz
Approx 65% complete for Res2_RNA_D5_2.fastq.gz
Approx 80% complete for Res2_RNA_D6_1.fastq.gz
Approx 75% complete for Res2_RNA_D5_1.fastq.gz
Approx 60% complete for Res2_RNA_E1_2.fastq.gz
Approx 75% complete for Res2_RNA_E1_1.fastq.gz
Approx 65% complete for Res2_RNA_E1_2.fastq.gz
Approx 65% complete for Res2_RNA_D6_2.fastq.gz
Approx 80% complete for Res2_RNA_E1_1.fastq.gz
Approx 85% complete for Res2_RNA_D6_1.fastq.gz
Approx 70% complete for Res2_RNA_D5_2.fastq.gz
Approx 70% complete for Res2_RNA_E1_2.fastq.gz
Approx 85% complete for Res2_RNA_E1_1.fastq.gz
Approx 80% complete for Res2_RNA_D5_1.fastq.gz
Approx 70% complete for Res2_RNA_D6_2.fastq.gz
Approx 75% complete for Res2_RNA_E1_2.fastq.gz
Approx 90% complete for Res2_RNA_E1_1.fastq.gz
Approx 90% complete for Res2_RNA_D6_1.fastq.gz
Approx 95% complete for Res2_RNA_E1_1.fastq.gz
Approx 80% complete for Res2_RNA_E1_2.fastq.gz
Approx 75% complete for Res2_RNA_D5_2.fastq.gz
Approx 85% complete for Res2_RNA_D5_1.fastq.gz
Approx 75% complete for Res2_RNA_D6_2.fastq.gz
Approx 100% complete for Res2_RNA_E1_1.fastq.gz
Approx 85% complete for Res2_RNA_E1_2.fastq.gz
Analysis complete for Res2_RNA_E1_1.fastq.gz
Approx 95% complete for Res2_RNA_D6_1.fastq.gz
Started analysis of Res2_RNA_E2_1.fastq.gz
Approx 90% complete for Res2_RNA_E1_2.fastq.gz
Approx 80% complete for Res2_RNA_D6_2.fastq.gz
Approx 95% complete for Res2_RNA_E1_2.fastq.gz
Approx 80% complete for Res2_RNA_D5_2.fastq.gz
Analysis complete for Res2_RNA_D6_1.fastq.gz
Approx 90% complete for Res2_RNA_D5_1.fastq.gz
Approx 100% complete for Res2_RNA_E1_2.fastq.gz
Analysis complete for Res2_RNA_E1_2.fastq.gz
Started analysis of Res2_RNA_E2_2.fastq.gz
Approx 85% complete for Res2_RNA_D6_2.fastq.gz
Started analysis of Res2_RNA_E3_1.fastq.gz
Approx 5% complete for Res2_RNA_E2_1.fastq.gz
Approx 85% complete for Res2_RNA_D5_2.fastq.gz
Approx 95% complete for Res2_RNA_D5_1.fastq.gz
Approx 90% complete for Res2_RNA_D6_2.fastq.gz
Approx 5% complete for Res2_RNA_E2_2.fastq.gz
Approx 10% complete for Res2_RNA_E2_1.fastq.gz
Approx 5% complete for Res2_RNA_E3_1.fastq.gz
Approx 90% complete for Res2_RNA_D5_2.fastq.gz
Approx 95% complete for Res2_RNA_D6_2.fastq.gz
Analysis complete for Res2_RNA_D5_1.fastq.gz
Started analysis of Res2_RNA_E3_2.fastq.gz
Approx 10% complete for Res2_RNA_E2_2.fastq.gz
Analysis complete for Res2_RNA_D6_2.fastq.gz
Approx 15% complete for Res2_RNA_E2_1.fastq.gz
Approx 95% complete for Res2_RNA_D5_2.fastq.gz
Started analysis of Res2_RNA_E4_1.fastq.gz
Approx 10% complete for Res2_RNA_E3_1.fastq.gz
Approx 5% complete for Res2_RNA_E3_2.fastq.gz
Approx 20% complete for Res2_RNA_E2_1.fastq.gz
Approx 15% complete for Res2_RNA_E2_2.fastq.gz
Analysis complete for Res2_RNA_D5_2.fastq.gz
Approx 5% complete for Res2_RNA_E4_1.fastq.gz
Started analysis of Res2_RNA_E4_2.fastq.gz
Approx 15% complete for Res2_RNA_E3_1.fastq.gz
Approx 25% complete for Res2_RNA_E2_1.fastq.gz
Approx 20% complete for Res2_RNA_E2_2.fastq.gz
Approx 10% complete for Res2_RNA_E3_2.fastq.gz
Approx 10% complete for Res2_RNA_E4_1.fastq.gz
Approx 5% complete for Res2_RNA_E4_2.fastq.gz
Approx 20% complete for Res2_RNA_E3_1.fastq.gz
Approx 30% complete for Res2_RNA_E2_1.fastq.gz
Approx 25% complete for Res2_RNA_E2_2.fastq.gz
Approx 15% complete for Res2_RNA_E3_2.fastq.gz
Approx 15% complete for Res2_RNA_E4_1.fastq.gz
Approx 10% complete for Res2_RNA_E4_2.fastq.gz
Approx 35% complete for Res2_RNA_E2_1.fastq.gz
Approx 25% complete for Res2_RNA_E3_1.fastq.gz
Approx 30% complete for Res2_RNA_E2_2.fastq.gz
Approx 20% complete for Res2_RNA_E4_1.fastq.gz
Approx 20% complete for Res2_RNA_E3_2.fastq.gz
Approx 15% complete for Res2_RNA_E4_2.fastq.gz
Approx 40% complete for Res2_RNA_E2_1.fastq.gz
Approx 30% complete for Res2_RNA_E3_1.fastq.gz
Approx 35% complete for Res2_RNA_E2_2.fastq.gz
Approx 25% complete for Res2_RNA_E4_1.fastq.gz
Approx 45% complete for Res2_RNA_E2_1.fastq.gz
Approx 20% complete for Res2_RNA_E4_2.fastq.gz
Approx 25% complete for Res2_RNA_E3_2.fastq.gz
Approx 40% complete for Res2_RNA_E2_2.fastq.gz
Approx 35% complete for Res2_RNA_E3_1.fastq.gz
Approx 30% complete for Res2_RNA_E4_1.fastq.gz
Approx 50% complete for Res2_RNA_E2_1.fastq.gz
Approx 25% complete for Res2_RNA_E4_2.fastq.gz
Approx 45% complete for Res2_RNA_E2_2.fastq.gz
Approx 30% complete for Res2_RNA_E3_2.fastq.gz
Approx 40% complete for Res2_RNA_E3_1.fastq.gz
Approx 35% complete for Res2_RNA_E4_1.fastq.gz
Approx 55% complete for Res2_RNA_E2_1.fastq.gz
Approx 30% complete for Res2_RNA_E4_2.fastq.gz
Approx 50% complete for Res2_RNA_E2_2.fastq.gz
Approx 35% complete for Res2_RNA_E3_2.fastq.gz
Approx 45% complete for Res2_RNA_E3_1.fastq.gz
Approx 60% complete for Res2_RNA_E2_1.fastq.gz
Approx 40% complete for Res2_RNA_E4_1.fastq.gz
Approx 35% complete for Res2_RNA_E4_2.fastq.gz
Approx 55% complete for Res2_RNA_E2_2.fastq.gz
Approx 65% complete for Res2_RNA_E2_1.fastq.gz
Approx 40% complete for Res2_RNA_E3_2.fastq.gz
Approx 45% complete for Res2_RNA_E4_1.fastq.gz
Approx 50% complete for Res2_RNA_E3_1.fastq.gz
Approx 40% complete for Res2_RNA_E4_2.fastq.gz
Approx 60% complete for Res2_RNA_E2_2.fastq.gz
Approx 70% complete for Res2_RNA_E2_1.fastq.gz
Approx 50% complete for Res2_RNA_E4_1.fastq.gz
Approx 45% complete for Res2_RNA_E3_2.fastq.gz
Approx 55% complete for Res2_RNA_E3_1.fastq.gz
Approx 65% complete for Res2_RNA_E2_2.fastq.gz
Approx 45% complete for Res2_RNA_E4_2.fastq.gz
Approx 75% complete for Res2_RNA_E2_1.fastq.gz
Approx 55% complete for Res2_RNA_E4_1.fastq.gz
Approx 50% complete for Res2_RNA_E3_2.fastq.gz
Approx 60% complete for Res2_RNA_E3_1.fastq.gz
Approx 70% complete for Res2_RNA_E2_2.fastq.gz
Approx 50% complete for Res2_RNA_E4_2.fastq.gz
Approx 80% complete for Res2_RNA_E2_1.fastq.gz
Approx 60% complete for Res2_RNA_E4_1.fastq.gz
Approx 55% complete for Res2_RNA_E3_2.fastq.gz
Approx 65% complete for Res2_RNA_E3_1.fastq.gz
Approx 75% complete for Res2_RNA_E2_2.fastq.gz
Approx 55% complete for Res2_RNA_E4_2.fastq.gz
Approx 85% complete for Res2_RNA_E2_1.fastq.gz
Approx 65% complete for Res2_RNA_E4_1.fastq.gz
Approx 60% complete for Res2_RNA_E3_2.fastq.gz
Approx 80% complete for Res2_RNA_E2_2.fastq.gz
Approx 70% complete for Res2_RNA_E3_1.fastq.gz
Approx 60% complete for Res2_RNA_E4_2.fastq.gz
Approx 90% complete for Res2_RNA_E2_1.fastq.gz
Approx 70% complete for Res2_RNA_E4_1.fastq.gz
Approx 65% complete for Res2_RNA_E3_2.fastq.gz
Approx 85% complete for Res2_RNA_E2_2.fastq.gz
Approx 65% complete for Res2_RNA_E4_2.fastq.gz
Approx 75% complete for Res2_RNA_E3_1.fastq.gz
Approx 95% complete for Res2_RNA_E2_1.fastq.gz
Approx 75% complete for Res2_RNA_E4_1.fastq.gz
Approx 90% complete for Res2_RNA_E2_2.fastq.gz
Approx 70% complete for Res2_RNA_E3_2.fastq.gz
Approx 70% complete for Res2_RNA_E4_2.fastq.gz
Approx 80% complete for Res2_RNA_E3_1.fastq.gz
Analysis complete for Res2_RNA_E2_1.fastq.gz
Approx 80% complete for Res2_RNA_E4_1.fastq.gz
Approx 95% complete for Res2_RNA_E2_2.fastq.gz
Started analysis of Res2_RNA_E5_1.fastq.gz
Approx 75% complete for Res2_RNA_E3_2.fastq.gz
Approx 75% complete for Res2_RNA_E4_2.fastq.gz
Approx 85% complete for Res2_RNA_E3_1.fastq.gz
Approx 85% complete for Res2_RNA_E4_1.fastq.gz
Analysis complete for Res2_RNA_E2_2.fastq.gz
Approx 80% complete for Res2_RNA_E4_2.fastq.gz
Approx 5% complete for Res2_RNA_E5_1.fastq.gz
Approx 80% complete for Res2_RNA_E3_2.fastq.gz
Started analysis of Res2_RNA_E5_2.fastq.gz
Approx 90% complete for Res2_RNA_E4_1.fastq.gz
Approx 90% complete for Res2_RNA_E3_1.fastq.gz
Approx 85% complete for Res2_RNA_E4_2.fastq.gz
Approx 85% complete for Res2_RNA_E3_2.fastq.gz
Approx 10% complete for Res2_RNA_E5_1.fastq.gz
Approx 95% complete for Res2_RNA_E4_1.fastq.gz
Approx 5% complete for Res2_RNA_E5_2.fastq.gz
Approx 95% complete for Res2_RNA_E3_1.fastq.gz
Approx 90% complete for Res2_RNA_E4_2.fastq.gz
Approx 90% complete for Res2_RNA_E3_2.fastq.gz
Analysis complete for Res2_RNA_E4_1.fastq.gz
Approx 15% complete for Res2_RNA_E5_1.fastq.gz
Approx 10% complete for Res2_RNA_E5_2.fastq.gz
Analysis complete for Res2_RNA_E3_1.fastq.gz
Started analysis of Res2_RNA_E6_1.fastq.gz
Approx 95% complete for Res2_RNA_E4_2.fastq.gz
Started analysis of Res2_RNA_E6_2.fastq.gz
Approx 95% complete for Res2_RNA_E3_2.fastq.gz
Approx 5% complete for Res2_RNA_E6_1.fastq.gz
Approx 20% complete for Res2_RNA_E5_1.fastq.gz
Analysis complete for Res2_RNA_E4_2.fastq.gz
Approx 15% complete for Res2_RNA_E5_2.fastq.gz
Approx 5% complete for Res2_RNA_E6_2.fastq.gz
Started analysis of Res2_RNA_F1_1.fastq.gz
Analysis complete for Res2_RNA_E3_2.fastq.gz
Approx 10% complete for Res2_RNA_E6_1.fastq.gz
Started analysis of Res2_RNA_F1_2.fastq.gz
Approx 25% complete for Res2_RNA_E5_1.fastq.gz
Approx 10% complete for Res2_RNA_E6_2.fastq.gz
Approx 20% complete for Res2_RNA_E5_2.fastq.gz
Approx 15% complete for Res2_RNA_E6_1.fastq.gz
Approx 15% complete for Res2_RNA_E6_2.fastq.gz
Approx 30% complete for Res2_RNA_E5_1.fastq.gz
Approx 20% complete for Res2_RNA_E6_1.fastq.gz
Approx 5% complete for Res2_RNA_F1_1.fastq.gz
Approx 25% complete for Res2_RNA_E5_2.fastq.gz
Approx 20% complete for Res2_RNA_E6_2.fastq.gz
Approx 5% complete for Res2_RNA_F1_2.fastq.gz
Approx 25% complete for Res2_RNA_E6_1.fastq.gz
Approx 35% complete for Res2_RNA_E5_1.fastq.gz
Approx 30% complete for Res2_RNA_E5_2.fastq.gz
Approx 25% complete for Res2_RNA_E6_2.fastq.gz
Approx 30% complete for Res2_RNA_E6_1.fastq.gz
Approx 40% complete for Res2_RNA_E5_1.fastq.gz
Approx 10% complete for Res2_RNA_F1_1.fastq.gz
Approx 30% complete for Res2_RNA_E6_2.fastq.gz
Approx 35% complete for Res2_RNA_E5_2.fastq.gz
Approx 35% complete for Res2_RNA_E6_1.fastq.gz
Approx 10% complete for Res2_RNA_F1_2.fastq.gz
Approx 45% complete for Res2_RNA_E5_1.fastq.gz
Approx 35% complete for Res2_RNA_E6_2.fastq.gz
Approx 40% complete for Res2_RNA_E6_1.fastq.gz
Approx 40% complete for Res2_RNA_E5_2.fastq.gz
Approx 40% complete for Res2_RNA_E6_2.fastq.gz
Approx 15% complete for Res2_RNA_F1_1.fastq.gz
Approx 45% complete for Res2_RNA_E6_1.fastq.gz
Approx 50% complete for Res2_RNA_E5_1.fastq.gz
Approx 45% complete for Res2_RNA_E5_2.fastq.gz
Approx 15% complete for Res2_RNA_F1_2.fastq.gz
Approx 45% complete for Res2_RNA_E6_2.fastq.gz
Approx 50% complete for Res2_RNA_E6_1.fastq.gz
Approx 55% complete for Res2_RNA_E5_1.fastq.gz
Approx 50% complete for Res2_RNA_E6_2.fastq.gz
Approx 50% complete for Res2_RNA_E5_2.fastq.gz
Approx 55% complete for Res2_RNA_E6_1.fastq.gz
Approx 20% complete for Res2_RNA_F1_1.fastq.gz
Approx 60% complete for Res2_RNA_E5_1.fastq.gz
Approx 55% complete for Res2_RNA_E6_2.fastq.gz
Approx 20% complete for Res2_RNA_F1_2.fastq.gz
Approx 60% complete for Res2_RNA_E6_1.fastq.gz
Approx 55% complete for Res2_RNA_E5_2.fastq.gz
Approx 65% complete for Res2_RNA_E5_1.fastq.gz
Approx 60% complete for Res2_RNA_E6_2.fastq.gz
Approx 65% complete for Res2_RNA_E6_1.fastq.gz
Approx 60% complete for Res2_RNA_E5_2.fastq.gz
Approx 25% complete for Res2_RNA_F1_1.fastq.gz
Approx 65% complete for Res2_RNA_E6_2.fastq.gz
Approx 70% complete for Res2_RNA_E5_1.fastq.gz
Approx 70% complete for Res2_RNA_E6_1.fastq.gz
Approx 25% complete for Res2_RNA_F1_2.fastq.gz
Approx 65% complete for Res2_RNA_E5_2.fastq.gz
Approx 70% complete for Res2_RNA_E6_2.fastq.gz
Approx 75% complete for Res2_RNA_E6_1.fastq.gz
Approx 75% complete for Res2_RNA_E5_1.fastq.gz
Approx 75% complete for Res2_RNA_E6_2.fastq.gz
Approx 70% complete for Res2_RNA_E5_2.fastq.gz
Approx 30% complete for Res2_RNA_F1_1.fastq.gz
Approx 80% complete for Res2_RNA_E6_1.fastq.gz
Approx 30% complete for Res2_RNA_F1_2.fastq.gz
Approx 80% complete for Res2_RNA_E5_1.fastq.gz
Approx 80% complete for Res2_RNA_E6_2.fastq.gz
Approx 85% complete for Res2_RNA_E6_1.fastq.gz
Approx 75% complete for Res2_RNA_E5_2.fastq.gz
Approx 85% complete for Res2_RNA_E6_2.fastq.gz
Approx 85% complete for Res2_RNA_E5_1.fastq.gz
Approx 90% complete for Res2_RNA_E6_1.fastq.gz
Approx 80% complete for Res2_RNA_E5_2.fastq.gz
Approx 35% complete for Res2_RNA_F1_1.fastq.gz
Approx 90% complete for Res2_RNA_E6_2.fastq.gz
Approx 35% complete for Res2_RNA_F1_2.fastq.gz
Approx 90% complete for Res2_RNA_E5_1.fastq.gz
Approx 95% complete for Res2_RNA_E6_1.fastq.gz
Approx 85% complete for Res2_RNA_E5_2.fastq.gz
Approx 95% complete for Res2_RNA_E6_2.fastq.gz
Analysis complete for Res2_RNA_E6_1.fastq.gz
Approx 95% complete for Res2_RNA_E5_1.fastq.gz
Analysis complete for Res2_RNA_E6_2.fastq.gz
Started analysis of Res2_RNA_F2_1.fastq.gz
Approx 40% complete for Res2_RNA_F1_1.fastq.gz
Approx 90% complete for Res2_RNA_E5_2.fastq.gz
Started analysis of Res2_RNA_F2_2.fastq.gz
Approx 40% complete for Res2_RNA_F1_2.fastq.gz
Approx 5% complete for Res2_RNA_F2_1.fastq.gz
Approx 100% complete for Res2_RNA_E5_1.fastq.gz
Analysis complete for Res2_RNA_E5_1.fastq.gz
Approx 5% complete for Res2_RNA_F2_2.fastq.gz
Approx 95% complete for Res2_RNA_E5_2.fastq.gz
Started analysis of Res2_RNA_F3_1.fastq.gz
Approx 10% complete for Res2_RNA_F2_1.fastq.gz
Approx 10% complete for Res2_RNA_F2_2.fastq.gz
Approx 45% complete for Res2_RNA_F1_1.fastq.gz
Approx 100% complete for Res2_RNA_E5_2.fastq.gz
Analysis complete for Res2_RNA_E5_2.fastq.gz
Approx 5% complete for Res2_RNA_F3_1.fastq.gz
Approx 15% complete for Res2_RNA_F2_1.fastq.gz
Approx 45% complete for Res2_RNA_F1_2.fastq.gz
Started analysis of Res2_RNA_F3_2.fastq.gz
Approx 15% complete for Res2_RNA_F2_2.fastq.gz
Approx 20% complete for Res2_RNA_F2_1.fastq.gz
Approx 10% complete for Res2_RNA_F3_1.fastq.gz
Approx 20% complete for Res2_RNA_F2_2.fastq.gz
Approx 5% complete for Res2_RNA_F3_2.fastq.gz
Approx 50% complete for Res2_RNA_F1_1.fastq.gz
Approx 25% complete for Res2_RNA_F2_1.fastq.gz
Approx 15% complete for Res2_RNA_F3_1.fastq.gz
Approx 25% complete for Res2_RNA_F2_2.fastq.gz
Approx 50% complete for Res2_RNA_F1_2.fastq.gz
Approx 10% complete for Res2_RNA_F3_2.fastq.gz
Approx 30% complete for Res2_RNA_F2_1.fastq.gz
Approx 30% complete for Res2_RNA_F2_2.fastq.gz
Approx 20% complete for Res2_RNA_F3_1.fastq.gz
Approx 35% complete for Res2_RNA_F2_1.fastq.gz
Approx 15% complete for Res2_RNA_F3_2.fastq.gz
Approx 35% complete for Res2_RNA_F2_2.fastq.gz
Approx 55% complete for Res2_RNA_F1_1.fastq.gz
Approx 40% complete for Res2_RNA_F2_1.fastq.gz
Approx 25% complete for Res2_RNA_F3_1.fastq.gz
Approx 55% complete for Res2_RNA_F1_2.fastq.gz
Approx 40% complete for Res2_RNA_F2_2.fastq.gz
Approx 20% complete for Res2_RNA_F3_2.fastq.gz
Approx 45% complete for Res2_RNA_F2_1.fastq.gz
Approx 30% complete for Res2_RNA_F3_1.fastq.gz
Approx 45% complete for Res2_RNA_F2_2.fastq.gz
Approx 25% complete for Res2_RNA_F3_2.fastq.gz
Approx 50% complete for Res2_RNA_F2_1.fastq.gz
Approx 60% complete for Res2_RNA_F1_1.fastq.gz
Approx 50% complete for Res2_RNA_F2_2.fastq.gz
Approx 35% complete for Res2_RNA_F3_1.fastq.gz
Approx 60% complete for Res2_RNA_F1_2.fastq.gz
Approx 30% complete for Res2_RNA_F3_2.fastq.gz
Approx 55% complete for Res2_RNA_F2_2.fastq.gz
Approx 55% complete for Res2_RNA_F2_1.fastq.gz
Approx 40% complete for Res2_RNA_F3_1.fastq.gz
Approx 60% complete for Res2_RNA_F2_2.fastq.gz
Approx 60% complete for Res2_RNA_F2_1.fastq.gz
Approx 65% complete for Res2_RNA_F1_1.fastq.gz
Approx 35% complete for Res2_RNA_F3_2.fastq.gz
Approx 45% complete for Res2_RNA_F3_1.fastq.gz
Approx 65% complete for Res2_RNA_F1_2.fastq.gz
Approx 65% complete for Res2_RNA_F2_2.fastq.gz
Approx 65% complete for Res2_RNA_F2_1.fastq.gz
Approx 40% complete for Res2_RNA_F3_2.fastq.gz
Approx 70% complete for Res2_RNA_F2_2.fastq.gz
Approx 70% complete for Res2_RNA_F2_1.fastq.gz
Approx 50% complete for Res2_RNA_F3_1.fastq.gz
Approx 70% complete for Res2_RNA_F1_1.fastq.gz
Approx 45% complete for Res2_RNA_F3_2.fastq.gz
Approx 75% complete for Res2_RNA_F2_1.fastq.gz
Approx 75% complete for Res2_RNA_F2_2.fastq.gz
Approx 55% complete for Res2_RNA_F3_1.fastq.gz
Approx 70% complete for Res2_RNA_F1_2.fastq.gz
Approx 80% complete for Res2_RNA_F2_2.fastq.gz
Approx 80% complete for Res2_RNA_F2_1.fastq.gz
Approx 50% complete for Res2_RNA_F3_2.fastq.gz
Approx 60% complete for Res2_RNA_F3_1.fastq.gz
Approx 85% complete for Res2_RNA_F2_2.fastq.gz
Approx 85% complete for Res2_RNA_F2_1.fastq.gz
Approx 75% complete for Res2_RNA_F1_1.fastq.gz
Approx 55% complete for Res2_RNA_F3_2.fastq.gz
Approx 65% complete for Res2_RNA_F3_1.fastq.gz
Approx 90% complete for Res2_RNA_F2_1.fastq.gz
Approx 90% complete for Res2_RNA_F2_2.fastq.gz
Approx 75% complete for Res2_RNA_F1_2.fastq.gz
Approx 60% complete for Res2_RNA_F3_2.fastq.gz
Approx 95% complete for Res2_RNA_F2_1.fastq.gz
Approx 95% complete for Res2_RNA_F2_2.fastq.gz
Approx 70% complete for Res2_RNA_F3_1.fastq.gz
Approx 80% complete for Res2_RNA_F1_1.fastq.gz
Analysis complete for Res2_RNA_F2_2.fastq.gz
Analysis complete for Res2_RNA_F2_1.fastq.gz
Approx 65% complete for Res2_RNA_F3_2.fastq.gz
Approx 75% complete for Res2_RNA_F3_1.fastq.gz
Started analysis of Res2_RNA_F4_1.fastq.gz
Started analysis of Res2_RNA_F4_2.fastq.gz
Approx 80% complete for Res2_RNA_F1_2.fastq.gz
Approx 70% complete for Res2_RNA_F3_2.fastq.gz
Approx 80% complete for Res2_RNA_F3_1.fastq.gz
Approx 5% complete for Res2_RNA_F4_1.fastq.gz
Approx 5% complete for Res2_RNA_F4_2.fastq.gz
Approx 85% complete for Res2_RNA_F1_1.fastq.gz
Approx 85% complete for Res2_RNA_F3_1.fastq.gz
Approx 75% complete for Res2_RNA_F3_2.fastq.gz
Approx 10% complete for Res2_RNA_F4_1.fastq.gz
Approx 85% complete for Res2_RNA_F1_2.fastq.gz
Approx 10% complete for Res2_RNA_F4_2.fastq.gz
Approx 90% complete for Res2_RNA_F3_1.fastq.gz
Approx 80% complete for Res2_RNA_F3_2.fastq.gz
Approx 15% complete for Res2_RNA_F4_1.fastq.gz
Approx 15% complete for Res2_RNA_F4_2.fastq.gz
Approx 90% complete for Res2_RNA_F1_1.fastq.gz
Approx 95% complete for Res2_RNA_F3_1.fastq.gz
Approx 85% complete for Res2_RNA_F3_2.fastq.gz
Approx 90% complete for Res2_RNA_F1_2.fastq.gz
Approx 20% complete for Res2_RNA_F4_1.fastq.gz
Approx 20% complete for Res2_RNA_F4_2.fastq.gz
Analysis complete for Res2_RNA_F3_1.fastq.gz
Approx 90% complete for Res2_RNA_F3_2.fastq.gz
Started analysis of Res2_RNA_F5_1.fastq.gz
Approx 25% complete for Res2_RNA_F4_1.fastq.gz
Approx 25% complete for Res2_RNA_F4_2.fastq.gz
Approx 95% complete for Res2_RNA_F1_1.fastq.gz
Approx 5% complete for Res2_RNA_F5_1.fastq.gz
Approx 95% complete for Res2_RNA_F3_2.fastq.gz
Approx 95% complete for Res2_RNA_F1_2.fastq.gz
Approx 30% complete for Res2_RNA_F4_1.fastq.gz
Approx 30% complete for Res2_RNA_F4_2.fastq.gz
Approx 10% complete for Res2_RNA_F5_1.fastq.gz
Analysis complete for Res2_RNA_F3_2.fastq.gz
Approx 15% complete for Res2_RNA_F5_1.fastq.gz
Started analysis of Res2_RNA_F5_2.fastq.gz
Approx 35% complete for Res2_RNA_F4_1.fastq.gz
Approx 35% complete for Res2_RNA_F4_2.fastq.gz
Analysis complete for Res2_RNA_F1_1.fastq.gz
Approx 20% complete for Res2_RNA_F5_1.fastq.gz
Approx 5% complete for Res2_RNA_F5_2.fastq.gz
Started analysis of Res2_RNA_F6_1.fastq.gz
Analysis complete for Res2_RNA_F1_2.fastq.gz
Approx 40% complete for Res2_RNA_F4_1.fastq.gz
Approx 40% complete for Res2_RNA_F4_2.fastq.gz
Approx 25% complete for Res2_RNA_F5_1.fastq.gz
Started analysis of Res2_RNA_F6_2.fastq.gz
Approx 10% complete for Res2_RNA_F5_2.fastq.gz
Approx 5% complete for Res2_RNA_F6_1.fastq.gz
Approx 45% complete for Res2_RNA_F4_1.fastq.gz
Approx 30% complete for Res2_RNA_F5_1.fastq.gz
Approx 45% complete for Res2_RNA_F4_2.fastq.gz
Approx 15% complete for Res2_RNA_F5_2.fastq.gz
Approx 5% complete for Res2_RNA_F6_2.fastq.gz
Approx 10% complete for Res2_RNA_F6_1.fastq.gz
Approx 35% complete for Res2_RNA_F5_1.fastq.gz
Approx 20% complete for Res2_RNA_F5_2.fastq.gz
Approx 50% complete for Res2_RNA_F4_1.fastq.gz
Approx 50% complete for Res2_RNA_F4_2.fastq.gz
Approx 10% complete for Res2_RNA_F6_2.fastq.gz
Approx 40% complete for Res2_RNA_F5_1.fastq.gz
Approx 15% complete for Res2_RNA_F6_1.fastq.gz
Approx 25% complete for Res2_RNA_F5_2.fastq.gz
Approx 55% complete for Res2_RNA_F4_1.fastq.gz
Approx 15% complete for Res2_RNA_F6_2.fastq.gz
Approx 45% complete for Res2_RNA_F5_1.fastq.gz
